CODIGO,DEPARTAMENTO,ELEVACION,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
27015090,Antioquia,1453,-75.55325,6.31969444,23.795698924731184,24.74942528735632,25.31,23.631111111111107,23.646739130434778,24.043678160919537,23.17555555555555,23.66944444444444,22.84819277108433,22.535555555555554,21.986666666666668,21.509333333333334
11115020,Antioquia,1294,-76.02966667,6.75802778,22.006451612903227,22.372413793103448,22.00215053763441,21.364444444444445,21.369892473118277,21.417777777777776,21.225806451612904,21.273118279569893,21.293333333333337,20.870967741935484,20.70888888888889,21.111827956989245
11025010,Antioquia,2018,-76.08433333,5.87830556,18.083870967741934,18.547126436781607,18.334065934065936,18.104444444444447,17.97752808988764,17.631111111111114,17.498924731182797,17.89032258064516,17.341573033707867,16.995698924731183,16.82588235294118,17.006666666666664
26215010,Antioquia,26,-75.91952778,6.03955556,20.475294117647056,21.349382716049384,20.785227272727273,19.82857142857143,19.55164835164835,19.549999999999997,19.272727272727273,19.654117647058825,18.811363636363637,18.402272727272727,18.076829268292684,17.866666666666667
11115040,Antioquia,1396,-76.20333333,6.77797222,21.638709677419357,22.151724137931033,22.455913978494625,22.247777777777777,21.636559139784946,21.184444444444445,21.051612903225806,21.280459770114945,20.744444444444444,20.794623655913977,20.513333333333332,20.48
23085110,Antioquia,247,-75.24130556,6.21422222,18.67956989247312,19.32873563218391,19.83010752688172,19.133333333333333,19.316129032258065,19.57111111111111,19.325806451612902,19.625806451612902,18.966666666666665,18.230107526881717,17.63111111111111,17.78494623655914
23085140,Antioquia,1325,-75.10069444,5.96380556,22.53333333333333,22.862068965517242,23.11075268817204,22.395555555555553,22.28817204301075,22.61333333333333,22.546236559139786,22.836559139784942,22.14888888888889,21.907526881720432,21.224444444444444,21.507526881720427
23085080,Antioquia,859,-74.83669444,6.48358333,24.061290322580643,24.775862068965516,25.004301075268817,24.38888888888889,24.274193548387096,23.986666666666665,24.162365591397855,23.976344086021513,23.76478873239437,,,
27015110,Antioquia,2652,-75.55571944,6.78006389,13.855913978494623,14.868965517241381,15.15268817204301,14.683333333333334,14.630107526881721,14.185555555555556,13.674193548387095,14.275268817204298,,,,
27015190,Antioquia,1440,-75.14675,6.54038889,23.36774193548387,23.67816091954023,24.65161290322581,22.998863636363637,23.339560439560437,23.341573033707867,23.31612903225806,23.541935483870972,22.694117647058818,22.013333333333335,21.625882352941176,21.791397849462367
26175030,Antioquia,1153,-75.69091667,5.71733333,24.615053763440862,25.64827586206897,25.03333333333333,24.55111111111111,23.503225806451614,23.304444444444446,23.21290322580645,24.131182795698926,22.888888888888882,22.444086021505374,22.104444444444447,22.137634408602146
23105030,Antioquia,990,-74.79652778,6.77411111,23.486021505376346,24.17333333333334,24.463414634146343,24.075949367088608,24.20740740740741,24.11777777777777,23.96344086021505,24.177011494252863,23.44666666666666,23.20645161290323,23.17391304347826,23.013333333333332
37055010,Arauca,128,-70.73805556,7.06944444,27.210752688172036,28.865517241379308,29.982795698924733,27.471111111111114,26.282795698924733,25.526666666666667,25.76989247311828,,26.87666666666666,27.201075268817206,26.99662921348315,26.763440860215052
29035080,Atlantico,10,-74.95463889,10.45358333,29.28279569892473,29.254022988505746,29.270967741935483,29.5,28.797849462365594,28.80666666666666,28.954838709677425,28.76236559139785,28.799999999999994,28.460869565217383,28.411235955056178,28.92043010752688
23205020,Bolívar,165,-73.92555556,7.475,29.27956989247312,29.43218390804598,29.449462365591394,29.046666666666663,28.37849462365591,28.775555555555552,28.840860215053763,28.668817204301078,28.297777777777778,28.483870967741936,28.206666666666667,28.744086021505375
24035310,Boyacá,2350,-72.50472222,6.54952778,18.908695652173915,19.541379310344826,19.961290322580645,18.646666666666665,18.395698924731185,18.582954545454548,18.184946236559142,18.04945054945055,17.285365853658536,17.4,17.29111111111111,17.678494623655915
24035250,Boyacá,2888,-72.46633333,6.18833333,,13.478947368421053,14.570967741935485,13.992222222222225,14.366265060240968,12.62,11.93827160493827,12.65783132530121,12.329885057471264,12.51358024691358,12.87763157894737,12.79318181818182
24035120,Boyacá,2485,-73.07447222,5.80244444,16.168292682926833,16.59571428571429,17.1875,16.582222222222224,15.99746835443038,15.330952380952382,15.1025641025641,15.374418604651163,15.61780821917808,15.687999999999999,15.842105263157892,15.207407407407409
35075040,Boyacá,1300,-73.31675,4.97436111,18.554347826086957,19.06206896551724,19.339784946236556,18.475555555555555,17.89032258064516,16.702222222222222,16.44516129032258,17.154838709677424,17.211363636363636,18.070967741935483,18.0561797752809,17.858426966292132
24035150,Boyacá,2530,-72.89430556,5.78158333,17.464516129032255,17.97558139534884,17.621505376344086,17.046341463414635,16.610666666666667,16.020289855072473,16.393103448275863,16.576,16.806666666666665,17.043835616438358,17.055555555555557,17.38666666666667
35075010,Boyacá,2438,-73.45377778,5.35269444,15.95483870967742,15.682758620689656,16.781720430107526,15.748314606741571,15.038709677419357,14.037777777777778,13.978494623655914,14.007526881720429,14.541111111111112,15.235555555555553,15.524444444444445,14.929032258064515
24035320,Boyacá,2594,-72.70483333,6.11686111,15.393548387096773,16.211494252873567,16.249462365591395,15.528888888888888,15.599999999999998,15.30222222222222,15.354347826086956,15.374193548387096,15.38,15.461290322580648,15.037777777777778,15.408602150537634
35235010,Boyacá,3590,-72.52927778,6.01166667,8.597333333333335,8.1816091954023,8.324675324675324,7.9188888888888895,7.662365591397851,6.397777777777777,6.015053763440862,6.240860215053765,6.291111111111111,7.2752688172043,8.022988505747126,7.325
