Fecha,Temperatura del Aire,Normal Climatica (1980-2010)
1/01/1984,22.21021986,22.46587896
1/01/1985,22.24362902,22.46587896
1/01/1986,22.25354322,22.46587896
1/01/1987,22.3370871,22.46587896
1/01/1988,22.32408841,22.46587896
1/01/1989,22.30022004,22.46587896
1/01/1990,22.3249442,22.46587896
1/01/1991,22.3470115,22.46587896
1/01/1992,22.39876663,22.46587896
1/01/1993,22.38252983,22.46587896
1/01/1994,22.42432789,22.46587896
1/01/1995,22.45287942,22.46587896
1/01/1996,22.43210529,22.46587896
1/01/1997,22.50987156,22.46587896
1/01/1998,22.55672725,22.46587896
1/01/1999,22.53631504,22.46587896
1/01/2000,22.52905464,22.46587896
1/01/2001,22.54678376,22.46587896
1/01/2002,22.57688008,22.46587896
1/01/2003,22.59641229,22.46587896
1/01/2004,22.61057008,22.46587896
1/01/2005,22.62830207,22.46587896
1/01/2006,22.63861459,22.46587896
1/01/2007,22.64824043,22.46587896
1/01/2008,22.6431014,22.46587896
1/01/2009,22.66062734,22.46587896
1/01/2010,22.67518989,22.46587896
1/01/2011,22.67301487,22.46587896
1/01/2012,22.67556053,22.46587896
1/01/2013,22.69503721,22.46587896
1/01/2014,22.7148488,22.46587896
1/01/2015,22.74908524,22.46587896
1/01/2016,22.77096491,22.46587896
1/01/2017,22.77933792,22.46587896
1/01/2018,22.78584344,22.46587896
1/01/2019,22.80177765,22.46587896
1/01/2020,22.81610287,22.46587896
