Fecha,Temperatura del Aire,Normal Climatica (1980-2010)
1/02/1996,22.62246807,22.46587896
1/03/1996,22.75294146,22.46587896
1/04/1996,22.74261159,22.46587896
1/05/1996,22.58001119,22.46587896
1/06/1996,22.44862255,22.46587896
1/07/1996,22.29910432,22.46587896
1/08/1996,22.41387664,22.46587896
1/09/1996,22.43506946,22.46587896
1/10/1996,22.10993301,22.46587896
1/11/1996,22.16955086,22.46587896
1/12/1996,22.15311698,22.46587896
1/01/1997,22.48005455,22.46587896
1/02/1997,22.64934817,22.46587896
1/03/1997,22.78820466,22.46587896
1/04/1997,22.75342134,22.46587896
1/05/1997,22.62055345,22.46587896
1/06/1997,22.47766946,22.46587896
1/07/1997,22.41069942,22.46587896
1/08/1997,22.55763313,22.46587896
1/09/1997,22.54806148,22.46587896
1/10/1997,22.25458077,22.46587896
1/11/1997,22.27016372,22.46587896
1/12/1997,22.30806862,22.46587896
1/01/1998,22.6126091,22.46587896
1/02/1998,22.7677204,22.46587896
1/03/1998,22.88395312,22.46587896
1/04/1998,22.83027025,22.46587896
1/05/1998,22.67338226,22.46587896
1/06/1998,22.50811463,22.46587896
1/07/1998,22.42519223,22.46587896
1/08/1998,22.56924809,22.46587896
1/09/1998,22.55334515,22.46587896
1/10/1998,22.26420661,22.46587896
1/11/1998,22.26622895,22.46587896
1/12/1998,22.32645623,22.46587896
1/01/1999,22.60910221,22.46587896
1/02/1999,22.74791781,22.46587896
1/03/1999,22.88996062,22.46587896
1/04/1999,22.80788067,22.46587896
1/05/1999,22.65689406,22.46587896
1/06/1999,22.48502174,22.46587896
1/07/1999,22.42246971,22.46587896
1/08/1999,22.54220619,22.46587896
1/09/1999,22.50381315,22.46587896
1/10/1999,22.23302367,22.46587896
1/11/1999,22.24562031,22.46587896
1/12/1999,22.29187039,22.46587896
1/01/2000,22.57609836,22.46587896
1/02/2000,22.71602121,22.46587896
1/03/2000,22.86227954,22.46587896
1/04/2000,22.79246732,22.46587896
1/05/2000,22.64162526,22.46587896
1/06/2000,22.48772832,22.46587896
1/07/2000,22.42473466,22.46587896
1/08/2000,22.55644084,22.46587896
1/09/2000,22.48173707,22.46587896
1/10/2000,22.25638796,22.46587896
1/11/2000,22.26210094,22.46587896
1/12/2000,22.29103417,22.46587896
1/01/2001,22.56157393,22.46587896
1/02/2001,22.72746169,22.46587896
1/03/2001,22.85311031,22.46587896
1/04/2001,22.80950352,22.46587896
1/05/2001,22.65311301,22.46587896
1/06/2001,22.50286902,22.46587896
1/07/2001,22.45017697,22.46587896
1/08/2001,22.59632809,22.46587896
1/09/2001,22.48998246,22.46587896
1/10/2001,22.30630746,22.46587896
1/11/2001,22.28468603,22.46587896
1/12/2001,22.3262926,22.46587896
1/01/2002,22.59499067,22.46587896
1/02/2002,22.7662289,22.46587896
1/03/2002,22.88069372,22.46587896
1/04/2002,22.81012662,22.46587896
1/05/2002,22.68595931,22.46587896
1/06/2002,22.51026542,22.46587896
1/07/2002,22.48681728,22.46587896
1/08/2002,22.63631008,22.46587896
1/09/2002,22.52725404,22.46587896
1/10/2002,22.34282715,22.46587896
1/11/2002,22.31284044,22.46587896
1/12/2002,22.36824735,22.46587896
1/01/2003,22.64231555,22.46587896
1/02/2003,22.81339165,22.46587896
1/03/2003,22.90174003,22.46587896
1/04/2003,22.81493844,22.46587896
1/05/2003,22.7080367,22.46587896
1/06/2003,22.50967001,22.46587896
1/07/2003,22.50087446,22.46587896
1/08/2003,22.65604561,22.46587896
1/09/2003,22.54401439,22.46587896
1/10/2003,22.35869896,22.46587896
1/11/2003,22.33107203,22.46587896
1/12/2003,22.37614959,22.46587896
1/01/2004,22.64645277,22.46587896
1/02/2004,22.83424508,22.46587896
1/03/2004,22.93824455,22.46587896
1/04/2004,22.82099481,22.46587896
1/05/2004,22.71917882,22.46587896
1/06/2004,22.53604731,22.46587896
1/07/2004,22.50377397,22.46587896
1/08/2004,22.67932742,22.46587896
1/09/2004,22.54763364,22.46587896
1/10/2004,22.37098104,22.46587896
1/11/2004,22.34158451,22.46587896
1/12/2004,22.38837698,22.46587896
1/01/2005,22.658958,22.46587896
1/02/2005,22.84788589,22.46587896
1/03/2005,22.96927238,22.46587896
1/04/2005,22.85069964,22.46587896
1/05/2005,22.73681841,22.46587896
1/06/2005,22.55866288,22.46587896
1/07/2005,22.52936111,22.46587896
1/08/2005,22.69701038,22.46587896
1/09/2005,22.57631251,22.46587896
1/10/2005,22.37938636,22.46587896
1/11/2005,22.34474636,22.46587896
1/12/2005,22.39051088,22.46587896
1/01/2006,22.65155622,22.46587896
1/02/2006,22.8586208,22.46587896
1/03/2006,22.95683075,22.46587896
1/04/2006,22.8350056,22.46587896
1/05/2006,22.74021064,22.46587896
1/06/2006,22.56696453,22.46587896
1/07/2006,22.54961023,22.46587896
1/08/2006,22.72427757,22.46587896
1/09/2006,22.60579185,22.46587896
1/10/2006,22.40986322,22.46587896
1/11/2006,22.35064701,22.46587896
1/12/2006,22.41399661,22.46587896
1/01/2007,22.68361283,22.46587896
1/02/2007,22.8968175,22.46587896
1/03/2007,22.96486617,22.46587896
1/04/2007,22.84090407,22.46587896
1/05/2007,22.74088523,22.46587896
1/06/2007,22.57532782,22.46587896
1/07/2007,22.57086176,22.46587896
1/08/2007,22.7139986,22.46587896
1/09/2007,22.61659001,22.46587896
1/10/2007,22.40769782,22.46587896
1/11/2007,22.36183707,22.46587896
1/12/2007,22.40548632,22.46587896
1/01/2008,22.67798705,22.46587896
1/02/2008,22.88437611,22.46587896
1/03/2008,22.95243719,22.46587896
1/04/2008,22.84099407,22.46587896
1/05/2008,22.72927099,22.46587896
1/06/2008,22.57557945,22.46587896
1/07/2008,22.56538098,22.46587896
1/08/2008,22.70550584,22.46587896
1/09/2008,22.6155067,22.46587896
1/10/2008,22.40854582,22.46587896
1/11/2008,22.35892314,22.46587896
1/12/2008,22.4027095,22.46587896
1/01/2009,22.66743937,22.46587896
1/02/2009,22.87942803,22.46587896
1/03/2009,22.93983503,22.46587896
1/04/2009,22.84773449,22.46587896
1/05/2009,22.74066624,22.46587896
1/06/2009,22.58428737,22.46587896
1/07/2009,22.5899033,22.46587896
1/08/2009,22.72887505,22.46587896
1/09/2009,22.66194595,22.46587896
1/10/2009,22.44488251,22.46587896
1/11/2009,22.39850486,22.46587896
1/12/2009,22.44402592,22.46587896
1/01/2010,22.70947847,22.46587896
1/02/2010,22.93185362,22.46587896
1/03/2010,22.98025296,22.46587896
1/04/2010,22.87644521,22.46587896
1/05/2010,22.7674693,22.46587896
1/06/2010,22.59289668,22.46587896
1/07/2010,22.58587316,22.46587896
