,Elevacion
686,233
687,231
688,225
689,225
690,223
691,222
692,222
693,218
694,221
695,218
696,214
697,207
698,206
699,204
700,1005
701,786
702,934
703,762
704,520
705,738
706,814
707,736
708,453
709,687
710,771
711,535
712,559
713,664
714,612
715,530
716,474
717,368
718,331
719,275
720,251
721,211
722,214
723,249
724,226
725,198
726,203
727,195
728,194
729,193
730,190
731,189
732,212
733,190
734,197
735,194
736,191
737,188
738,190
739,183
740,186
741,184
742,190
743,220
744,204
745,194
746,199
747,216
748,278
749,461
750,643
751,369
752,395
753,547
754,731
755,984
756,840
757,616
758,479
759,631
760,718
761,871
762,1293
763,1406
764,907
765,741
766,1134
767,853
768,1008
769,1280
770,1398
771,1411
772,978
773,989
774,834
775,943
776,968
777,977
778,919
779,916
780,1294
781,1370
782,1405
783,1281
784,1175
785,1114
786,1229
787,1459
788,1493
789,1350
790,1125
791,1176
792,1283
793,1015
794,841
795,1147
796,1314
797,1404
798,1475
799,1101
800,907
801,533
802,840
803,981
804,1104
805,1422
806,1135
807,998
808,807
809,686
810,539
811,699
812,924
813,1282
814,1387
815,1412
816,1689
817,2033
818,1949
819,1904
820,1945
821,2032
822,2192
823,2232
824,2294
825,2399
826,2633
827,3006
828,2861
829,2972
830,2917
831,2801
832,2672
833,2662
834,2650
835,2578
836,2568
837,2561
838,2561
839,2578
840,2579
841,2561
842,2566
843,2560
844,2610
845,2672
846,2734
847,2709
848,2623
849,2650
850,2636
851,2643
852,2710
853,2831
854,2770
855,2681
856,2603
857,2462
858,2463
859,2336
860,2398
861,2465
862,2258
863,2229
864,2288
865,2397
866,2556
867,2709
868,2899
869,2926
870,2815
871,2825
872,2691
873,2737
874,2616
875,2607
876,2606
877,2631
878,2666
879,2737
880,2867
881,3065
882,3081
883,3070
884,3087
885,3149
886,3135
887,3093
888,3066
889,2927
890,2797
891,2754
892,2813
893,2879
894,2852
895,2813
896,2874
897,2990
898,2991
899,3074
900,3080
901,3084
902,2966
903,2864
904,2767
905,2780
906,2824
907,2894
908,2920
909,2934
910,3054
911,3119
912,3192
913,3277
914,3382
915,3478
916,3585
917,3615
918,3788
919,3668
920,3466
921,3164
922,2994
923,2821
924,2880
925,2967
926,2963
927,3124
928,3144
929,3038
930,3016
931,3190
932,3177
933,3204
934,3180
935,3172
936,3033
937,3033
938,3033
939,3033
940,3033
941,3032
942,3072
943,3032
944,3036
945,3040
946,3057
947,3098
948,3208
949,3326
950,3500
951,3562
952,3346
953,3166
954,3075
955,3078
956,3012
957,3000
958,2965
959,2934
960,3048
961,3229
962,3087
963,2993
964,3193
965,3350
966,3312
967,3392
968,3421
969,3081
970,2946
971,2675
972,2493
973,2279
974,2031
975,2008
976,1825
977,1754
978,1312
979,1463
980,1601
981,1771
982,2017
983,1761
984,1724
985,1228
986,1025
987,780
988,859
989,954
990,1301
991,1162
992,1301
993,1360
994,1091
995,1362
996,1744
997,1712
998,1896
999,1627
1000,1489
1001,1198
1002,1002
1003,1114
1004,888
1005,635
1006,518
1007,483
1008,452
1009,625
1010,595
1011,602
1012,451
1013,378
1014,367
1015,363
1016,389
1017,529
1018,680
1019,715
1020,564
1021,442
1022,415
1023,465
1024,264
1025,259
1026,263
1027,259
1028,260
1029,252
1030,250
1031,245
1032,243
1033,242
1034,240
1035,237
1036,233
1037,233
1038,234
1039,224
1040,227
1041,226
1042,217
1043,222
1044,214
1045,215
1046,212
1047,207
1048,208
1049,205
1050,1235
1051,1159
1052,1126
1053,918
1054,683
1055,876
1056,935
1057,728
1058,423
1059,701
1060,756
1061,564
1062,536
1063,689
1064,617
1065,549
1066,471
1067,374
1068,357
1069,270
1070,256
1071,217
1072,220
1073,217
1074,224
1075,208
1076,201
1077,209
1078,227
1079,241
1080,242
1081,216
1082,231
1083,199
1084,189
1085,189
1086,189
1087,189
1088,185
1089,182
1090,186
1091,189
1092,194
1093,199
1094,191
1095,192
1096,231
1097,273
1098,270
1099,384
1100,625
1101,488
1102,313
1103,406
1104,540
1105,674
1106,707
1107,555
1108,442
1109,514
1110,580
1111,821
1112,1247
1113,1307
1114,977
1115,615
1116,1043
1117,795
1118,847
1119,1023
1120,1223
1121,1533
1122,1350
1123,1052
1124,757
1125,869
1126,958
1127,899
1128,889
1129,1114
1130,1091
1131,1097
1132,1163
1133,1108
1134,1016
1135,1205
1136,1392
1137,1668
1138,1614
1139,1434
1140,1243
1141,1085
1142,1126
1143,1215
1144,1049
1145,1243
1146,1530
1147,1591
1148,1109
1149,915
1150,851
1151,673
1152,851
1153,777
1154,898
1155,1022
1156,1347
1157,1232
1158,877
1159,550
1160,656
1161,786
1162,1090
1163,1501
1164,1449
1165,1522
1166,1729
1167,2126
1168,2134
1169,2041
1170,1961
1171,2115
1172,2255
1173,2285
1174,2373
1175,2518
1176,2643
1177,2993
1178,2837
1179,2868
1180,2821
1181,2875
1182,2774
1183,2836
1184,2740
1185,2614
1186,2568
1187,2562
1188,2568
1189,2562
1190,2562
1191,2561
1192,2560
1193,2559
1194,2585
1195,2565
1196,2628
1197,2634
1198,2765
1199,2645
1200,2523
1201,2664
1202,2744
1203,2662
1204,2661
1205,2608
1206,2547
1207,2398
1208,2315
1209,2250
1210,2444
1211,2351
1212,2232
1213,2301
1214,2457
1215,2532
1216,2720
1217,2754
1218,2784
1219,2907
1220,2730
1221,2687
1222,2672
1223,2675
1224,2611
1225,2605
1226,2604
1227,2617
1228,2666
1229,2811
1230,2951
1231,3024
1232,3114
1233,3180
1234,3167
1235,3094
1236,3043
1237,2998
1238,3065
1239,2935
1240,2820
1241,2732
1242,2745
1243,2839
1244,2830
1245,2810
1246,2856
1247,2945
1248,3092
1249,3102
1250,3148
1251,3070
1252,3031
1253,2929
1254,2840
1255,2758
1256,2809
1257,2804
1258,2867
1259,2954
1260,3043
1261,3117
1262,3209
1263,3266
1264,3331
1265,3396
1266,3442
1267,3549
1268,3627
1269,3793
1270,3573
1271,3300
1272,3077
1273,2909
1274,2777
1275,2801
1276,2870
1277,2973
1278,3030
1279,2921
1280,2987
1281,3163
1282,3132
1283,3128
1284,3158
1285,3106
1286,3129
1287,3049
1288,3033
1289,3033
1290,3033
1291,3032
1292,3032
1293,3035
1294,3032
1295,3035
1296,3042
1297,3050
1298,3200
1299,3360
1300,3431
1301,3523
1302,3406
1303,3397
1304,3060
1305,2983
1306,2968
1307,2952
1308,2973
1309,3082
1310,3212
1311,3318
1312,3304
1313,3066
1314,3144
1315,3306
1316,3185
1317,3143
1318,3219
1319,3253
1320,3197
1321,2792
1322,2491
1323,2316
1324,2301
1325,2167
1326,2080
1327,1913
1328,1590
1329,1281
1330,1423
1331,1530
1332,1617
1333,1506
1334,1454
1335,1147
1336,865
1337,923
1338,871
1339,1094
