,Elevacion
718,1708
719,1692
720,1376
721,1457
722,1911
723,2250
724,2586
725,2477
726,2387
727,2435
728,2484
729,2560
730,2628
731,2696
732,2808
733,2922
734,2998
735,2953
736,2939
737,2944
738,2818
739,2825
740,2807
741,2817
742,2807
743,2806
744,2787
745,2786
746,2796
747,2710
748,2651
749,2616
750,2615
751,2636
752,2680
753,2566
754,2528
755,2433
756,2251
757,2118
758,2144
759,2213
760,2147
761,2118
762,2274
763,2199
764,2035
765,2033
766,1963
767,1984
768,2124
769,2045
770,1862
771,1848
772,1803
773,1774
774,1690
775,1690
776,1612
777,1663
778,1508
779,1567
780,1444
781,1575
782,1639
783,1425
784,1451
785,1456
786,1596
787,1799
788,2002
789,1954
790,1703
791,1312
792,1355
793,1659
794,1762
795,1981
796,1672
797,1319
798,1311
799,1292
800,1056
801,935
802,829
803,771
804,593
805,871
806,1131
807,1602
808,1772
809,1698
810,1642
811,1597
812,1566
813,1670
814,1651
815,1609
816,1563
817,1721
818,1530
819,1590
820,1644
821,1602
822,1678
823,1547
824,1542
825,1570
826,1597
827,1695
828,1739
829,1773
830,1598
831,1553
832,1430
833,1375
834,1196
835,1236
836,1056
837,1203
838,1415
839,1334
840,1177
841,1092
842,1081
843,1085
844,1086
845,1140
846,1285
847,1246
848,1190
849,1078
850,962
851,1053
852,840
853,687
854,614
855,720
856,939
857,930
858,995
859,970
860,984
861,935
862,897
863,907
864,996
865,1021
866,836
867,853
868,805
869,752
870,693
871,712
872,756
873,701
874,749
875,724
876,692
877,684
878,662
879,652
880,626
881,587
882,629
883,601
884,582
885,591
886,589
887,563
888,588
889,616
890,591
891,550
892,584
893,610
894,563
895,547
896,539
897,586
898,610
899,647
900,666
901,599
902,551
903,517
904,486
905,473
906,473
907,476
908,488
909,438
910,431
911,405
912,328
913,377
914,349
915,390
916,349
917,332
918,315
919,240
920,259
921,250
922,285
923,280
924,245
925,208
926,244
927,172
928,179
929,138
930,109
931,111
932,111
933,109
934,114
935,101
936,103
937,103
938,107
939,122
940,132
941,146
942,138
943,116
944,109
945,117
946,119
947,102
948,122
949,114
950,118
951,109
952,117
953,119
954,122
955,108
956,104
957,120
958,139
959,108
960,113
961,128
962,104
963,115
964,118
965,109
966,106
967,113
968,97
969,93
970,83
971,99
972,93
973,93
974,86
975,94
976,91
977,99
978,83
979,84
980,84
981,89
982,86
983,81
984,91
985,83
986,75
987,82
988,79
989,89
990,84
991,86
992,82
993,82
994,82
995,84
996,80
997,81
998,82
999,80
1000,76
1001,76
1002,76
1003,76
1004,77
1005,88
1006,86
1007,82
1008,81
1009,85
1010,83
1011,108
1012,123
1013,126
1014,137
1015,134
1016,130
1017,132
1018,129
1019,145
1020,137
1021,125
1022,117
1023,123
1024,116
1025,125
1026,115
1027,107
1028,112
1029,129
1030,133
1031,132
1032,131
1033,104
1034,110
1035,106
1036,118
1037,145
1038,116
1039,138
1040,115
1041,148
1042,142
1043,136
1044,151
1045,165
1046,128
1047,131
1048,117
1049,140
1050,804
1051,1069
1052,1316
1053,1538
1054,1998
1055,2393
1056,2010
1057,2063
1058,1798
1059,1553
1060,1371
1061,1524
1062,1756
1063,1799
1064,2083
1065,2364
1066,2318
1067,1868
1068,1513
1069,1302
1070,1215
1071,1557
1072,2013
1073,1989
1074,2228
1075,2426
1076,2494
1077,2535
1078,2502
1079,2550
1080,2648
1081,2660
1082,2811
1083,2928
1084,2931
1085,2861
1086,2900
