CODIGO,DEPARTAMENTO,ELEVACION,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
26180160,Antioquia,2450,-75.43041667,5.78597222,197.60000000000002,55.2,136.3,325.6,412.90000000000003,93.8,49.4,91.7,231.7,267.4,319.1,45.5
11110020,Antioquia,1920,-76.075,6.6425,145.39999999999998,94.7,192.3,348.6,360.1,156.0,93.6,79.0,273.0,342.2,346.3,43.7
27010850,Antioquia,1530,-75.07722222,6.90555556,60.0,17.0,264.0,256.0,266.0,135.0,200.0,222.0,276.0,301.0,87.0,12.0
27010960,Antioquia,1100,-74.90213889,6.89861111,25.0,35.0,92.0,534.0,239.0,532.0,288.0,311.0,151.0,501.0,193.0,74.0
26195020,Antioquia,1180,-75.88022222,5.691,108.9,,105.4,213.1,187.19999999999996,108.6,,97.9,276.30000000000007,198.20000000000002,227.39999999999998,58.0
26190100,Antioquia,1250,-75.90008333,5.56397222,116.7,144.5,244.09999999999997,281.20000000000005,286.8,216.79999999999998,211.4,189.6,222.2,251.09999999999997,251.5,66.39999999999999
27020210,Antioquia,1650,-75.33247222,6.88305556,193.0,36.0,240.0,364.0,641.0,417.7,351.0,297.0,308.0,270.0,171.0,11.0
26210090,Antioquia,550,-75.85925,6.30313889,92.0,9.0,37.0,130.0,293.0,169.0,128.0,176.0,161.0,144.0,219.0,7.0
12010070,Antioquia,18,-76.64777778,7.88444444,133.60000000000002,0.7,27.5,282.4,230.3,227.20000000000002,197.59999999999997,191.6,533.2,221.0,308.0,120.7
12010060,Antioquia,10,-76.68916667,7.86305556,172.6,0.0,5.7,340.8,133.2,305.5,174.6,130.0,530.0,173.1,345.2,135.6
27010800,Antioquia,2600,-75.60722222,6.39972222,90.0,82.0,58.0,224.0,248.0,73.0,90.0,99.0,231.0,172.0,241.0,13.0
27015090,Antioquia,1453,-75.55325,6.31969444,78.7,102.69999999999999,131.89999999999998,251.29999999999998,285.3,84.9,76.2,80.0,247.5,176.6,281.2,8.3
27010870,Antioquia,2540,-75.66833333,6.60916667,153.8,111.80000000000001,189.20000000000002,273.3,333.09999999999997,136.3,107.89999999999999,92.70000000000002,180.89999999999998,232.3,362.59999999999997,55.599999999999994
26190090,Antioquia,1600,-75.97552778,5.755,210.0,195.0,268.0,468.0,385.0,217.0,253.0,166.0,317.0,152.0,286.0,126.0
26210140,Antioquia,232,-75.9455,6.21852778,97.0,85.0,139.0,267.0,379.0,291.0,108.0,221.0,238.0,265.6,219.0,129.0
26250030,Antioquia,95,-75.34783333,7.57905556,162.0,0.0,184.0,375.0,596.0,429.7,485.0,451.0,533.0,473.0,152.0,38.0
26240100,Antioquia,70,-75.21491667,7.86291667,52.0,0.0,0.8,124.0,392.0,57.60000000000001,38.1,155.0,223.0,327.2,93.0,0.0
26240060,Antioquia,75,-75.415,7.83666667,113.50000000000001,0.0,47.9,291.29999999999995,420.6,222.99999999999997,237.00000000000003,290.09999999999997,310.8,429.2,10.4,0.0
26210070,Antioquia,550,-75.98127778,6.40597222,21.0,43.0,21.0,32.0,45.0,55.0,45.0,54.0,89.0,30.0,56.0,7.0
