CODIGO,DEPARTAMENTO,ELEVACION,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
26180160,Antioquia,2450,-75.43041667,5.78597222,57.5,78.60000000000001,161.7,137.7,150.20000000000002,197.2,273.59999999999997,196.2,263.4,191.8,455.0,206.79999999999998
11110020,Antioquia,1920,-76.075,6.6425,82.5,84.5,77.5,230.0,202.4,163.5,289.5,221.3,267.4,252.4,371.9,150.9
27010850,Antioquia,1530,-75.07722222,6.90555556,53.0,32.0,96.0,207.0,234.0,276.0,239.1,217.0,257.8,362.0,430.1,82.0
27010960,Antioquia,1100,-74.90213889,6.89861111,39.99999999999999,9.0,24.3,,123.5,122.29999999999998,61.300000000000004,120.7,68.5,41.4,97.4,2.8
26195020,Antioquia,1180,-75.88022222,5.691,37.9,21.5,122.70000000000002,163.7,249.59999999999997,233.20000000000002,409.9,215.70000000000002,230.6,226.00000000000003,186.00000000000003,101.19999999999999
26190100,Antioquia,1250,-75.90008333,5.56397222,65.0,80.30000000000001,111.4,174.0,130.39999999999998,230.39999999999998,363.6000000000001,234.00000000000003,168.1,149.0,242.30000000000004,102.70000000000002
27020210,Antioquia,1650,-75.33247222,6.88305556,39.0,34.0,84.0,140.0,341.0,392.0,413.0,214.0,486.0,396.0,354.0,37.0
26210090,Antioquia,550,-75.85925,6.30313889,57.0,37.0,58.0,147.0,49.0,219.0,377.0,131.0,158.0,245.0,160.0,68.0
12010070,Antioquia,18,-76.64777778,7.88444444,6.8,3.6,32.5,21.3,221.2,211.3,91.5,249.7,255.0,38.5,118.8,262.0
12010060,Antioquia,10,-76.68916667,7.86305556,91.3,17.0,79.1,105.99999999999999,247.2,327.2,149.89999999999998,,558.0999999999999,84.0,163.6,296.1
27010800,Antioquia,2600,-75.60722222,6.39972222,33.0,56.1,53.0,78.0,41.0,145.0,231.0,148.2,222.0,189.5,231.1,49.0
27015090,Antioquia,1453,-75.55325,6.31969444,91.0,40.39999999999999,48.099999999999994,82.99999999999999,59.60000000000001,110.0,306.2999999999999,159.09999999999997,283.2,143.2,202.89999999999998,
27010870,Antioquia,2540,-75.66833333,6.60916667,63.8,97.9,168.4,117.8,105.3,177.6,193.1,105.7,181.2,219.0,297.7,87.5
26190090,Antioquia,1600,-75.97552778,5.755,48.0,78.0,151.0,178.0,92.0,194.0,461.0,293.6,323.0,371.0,277.0,271.0
26210070,Antioquia,550,-75.98127778,6.40597222,12.0,16.0,13.0,11.0,8.0,93.0,76.0,121.0,109.0,123.0,85.0,20.0
12010090,Antioquia,4,-76.71188889,7.74766667,9.700000000000001,16.4,261.7,118.89999999999999,315.70000000000005,353.1,336.4000000000001,523.0,418.4,187.2,159.89999999999998,449.0
25020530,Antioquia,500,-75.08975,8.0255,2.0,0.0,26.0,69.0,304.0,488.0,262.0,328.0,390.0,348.0,258.0,120.0
12010030,Antioquia,18,-76.7,7.57,33.0,13.0,100.0,461.0,589.0,585.0,493.0,473.0,419.0,398.0,179.0,380.0
23080750,Antioquia,1455,-75.18261111,6.05333333,60.0,136.0,505.0,391.0,377.0,345.0,357.0,459.0,592.0,451.0,466.0,437.0
