CODIGO,CATEGORIA,NOMBRE,MUNICIPIO,DEPARTAMENTO,AO,ELEVACION,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
21160030,PM,Cunday,Cunday,Tolima,10,448,-74.69,4.07,134.1,166.7,190.2,236.6,233.1,98.2,52.8,54.8,135.2,307.7,258.4,180.9,2048.6
21160160,PM,Llanitos,Dolores,Tolima,10,1388,-74.8,3.62,212,178.2,275.2,239.3,184,72.9,58.3,39.6,99.8,303.6,401.2,231.8,2295.9
23010020,PM,El Edén ,Fresno,Tolima,10,1670,-75.05,5.16,168,207.9,286.4,335,292,158.2,116.8,133.3,256.4,306.4,296.8,221.7,2778.9
21180160,PM,Suárez,Guamo,Tolima,10,319,-74.84,4.06,101.3,121.1,147.7,232.5,233.8,101.7,64.6,64.5,144,201.2,188.6,123.8,1724.7
23010080,PM,Idema-Honda,Honda,Tolima,10,196,-74.75,5.2,51.6,70.4,94.1,182.8,143.3,54.7,51.9,79,122.8,193.6,168,71.1,1283.4
21210220,PG,El Palmar,Ibagué,Tolima,10,2200,-75.33,4.58,46.6,58.4,87.3,149.6,153.8,134.3,100.8,100.6,139.9,133.5,103.4,64.5,1272.7
21210120,PG,La Esmeralda,Ibagué,Tolima,10,1965,-75.24,4.49,134.6,145.3,182.9,218.2,190.1,125.4,104.3,140.9,178.1,218.1,185.1,134.3,1957.3
21210020,PG,Las Juntas ,Ibagué,Tolima,10,1765,-75.32,4.56,52.4,69,68.3,181.9,196.1,146.7,138.4,126.1,188,159.6,107.3,73.2,1506.8
21250500,PM,Líbano,Líbano,Tolima,10,1649,-75.08,4.92,154.3,175.6,239.5,292.1,298.1,148.3,102.1,133.2,228.1,290.4,231.7,156.1,2449.4
21190300,PM,El Salero,Melgar,Tolima,10,650,-74.61,4.23,148.7,139.4,227.9,278.5,245.9,137.2,62.7,49.5,164.1,273.4,337.3,185.8,2250.4
21250110,PM,Murillo,Murillo,Tolima,10,2960,-75.17,4.87,63.4,90.8,130.3,203.7,210,129.6,95.3,100,146.6,181.3,160.1,93.2,1604.3
21135030,CP,Anchique,Natagaima,Tolima,4,415,-75.11,3.57,104.9,125.1,151,183.1,125.6,35.4,35.9,32.4,75.7,211.2,242.4,162.7,1485.4
21130180,PM,Hacienda Altamira Dc ,Natagaima,Tolima,4,500,-75.15,3.45,87.5,102.5,154.4,151.8,111.7,36.7,23.7,28.7,62.4,194,223.2,159.6,1336.2
22060090,PM,Olaya Herrera,Ortega,Tolima,10,450,-75.33,3.82,144.9,150.1,222.3,297.7,224.5,74.3,54.4,58.2,133.7,313.3,329.4,232.5,2235.3
22060070,PM,Ortega,Ortega,Tolima,10,388,-75.22,3.94,91.1,106.3,165.6,234.3,201.8,90.5,64.8,43.7,103.1,226,211.9,144.8,1683.9
21220040,PM,Piedras,Piedras,Tolima,10,384,-74.88,4.54,52.2,84.7,105,180.5,194.2,90.6,54,59.1,164,156.9,113.2,67.8,1322.2
22020030,PM,Gaitania,Planadas,Tolima,10,1476,-75.67,3.09,161.3,173,217.5,258.9,225.6,137.5,103.3,75.8,125,228.8,251.1,182.9,2140.7
21160080,PM,Boquerón,Prado,Tolima,10,337,-74.9,3.75,106.2,146.9,208.3,224,187.3,58.6,54.1,43.9,102.1,254.1,286.7,187.7,1859.9
