CODIGO,DEPARTAMENTO,ELEVACION,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
26180160,Antioquia,2450,-75.43041667,5.78597222,62.1,77.0,345.1,89.6,285.1,251.2,71.2,122.8,248.10000000000002,256.5,365.90000000000003,126.5
11110020,Antioquia,1920,-76.075,6.6425,52.2,79.8,219.29999999999998,116.3,298.8,181.1,101.3,174.0,223.5,185.5,246.29999999999998,157.0
27010850,Antioquia,1530,-75.07722222,6.90555556,61.0,57.0,469.0,155.0,305.0,279.0,113.0,241.0,208.0,179.0,332.0,64.0
27010960,Antioquia,1100,-74.90213889,6.89861111,73.0,12.0,264.0,173.0,236.0,682.0,509.0,579.0,292.0,253.0,304.0,144.0
26195020,Antioquia,1180,-75.88022222,5.691,,,,,95.80000000000001,278.3,161.09999999999997,205.5,266.1,270.7,188.1,183.20000000000002
26190100,Antioquia,1250,-75.90008333,5.56397222,155.2,92.6,245.6,183.6,307.40000000000003,218.59999999999994,127.19999999999999,207.70000000000002,250.3,172.7,175.0,160.59999999999997
27020210,Antioquia,1650,-75.33247222,6.88305556,51.0,40.0,239.0,155.0,342.0,443.0,362.0,392.0,303.0,103.0,253.0,67.0
26210090,Antioquia,550,-75.85925,6.30313889,34.0,46.0,149.0,103.0,284.0,192.0,140.0,140.0,181.0,154.0,146.0,148.0
12010070,Antioquia,18,-76.64777778,7.88444444,55.300000000000004,8.5,407.5,184.6,433.5,398.9,199.7,118.7,401.5,143.0,229.6,224.1
12010060,Antioquia,10,-76.68916667,7.86305556,18.3,0.4,351.6,133.7,472.79999999999995,444.9,277.00000000000006,113.49999999999999,436.90000000000003,198.7,258.29999999999995,266.4
27010800,Antioquia,2600,-75.60722222,6.39972222,38.0,17.0,166.0,98.0,199.0,198.0,72.0,148.0,161.0,200.0,109.0,103.0
27015090,Antioquia,1453,-75.55325,6.31969444,33.9,11.299999999999999,286.0,146.00000000000003,227.89999999999998,113.9,18.999999999999996,101.4,159.2,110.89999999999999,89.10000000000001,69.3
27010870,Antioquia,2540,-75.66833333,6.60916667,128.5,78.6,350.5,65.6,209.39999999999995,147.1,68.5,137.5,269.0,308.8,249.90000000000003,126.0
26190090,Antioquia,1600,-75.97552778,5.755,182.0,79.0,259.0,322.0,444.0,233.0,205.0,203.0,358.0,245.0,226.0,133.0
26210140,Antioquia,232,-75.9455,6.21852778,128.0,46.0,246.0,128.0,258.0,78.0,97.0,138.0,222.0,107.0,126.0,107.0
26250030,Antioquia,95,-75.34783333,7.57905556,57.0,46.0,123.0,289.0,547.0,438.0,487.0,744.0,481.0,408.0,233.0,158.0
26240100,Antioquia,70,-75.21491667,7.86291667,,,,,298.0,589.0,298.0,410.0,439.0,359.0,289.0,27.0
26240060,Antioquia,75,-75.415,7.83666667,2.9000000000000004,0.0,295.1,49.1,323.69999999999993,472.1,366.90000000000003,342.90000000000003,151.2,371.0,67.6,17.9
