CODIGO,DEPARTAMENTO,ELEVACION,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
26180160,Antioquia,2450,-75.43041667,5.78597222,202.0,86.0,156.0,361.0,205.0,147.0,58.0,146.0,31.0,259.0,271.0,114.0
11110020,Antioquia,1920,-76.075,6.6425,114.0,62.5,199.2,342.4,194.7,168.1,103.0,267.40000000000003,151.5,289.59999999999997,188.7,109.19999999999999
27010850,Antioquia,1530,-75.07722222,6.90555556,148.0,39.0,434.0,401.0,344.0,243.0,260.0,333.0,309.0,575.0,363.0,89.0
27010960,Antioquia,1100,-74.90213889,6.89861111,47.0,21.0,398.0,337.0,656.0,215.0,346.0,359.0,87.0,291.0,83.0,26.0
26195020,Antioquia,1180,-75.88022222,5.691,160.70000000000002,136.60000000000002,228.9,383.2,208.7,198.80000000000004,81.6,253.79999999999998,93.10000000000001,,,51.2
26190100,Antioquia,1250,-75.90008333,5.56397222,171.0,158.0,201.0,357.0,224.0,129.0,172.0,153.0,136.0,196.0,139.0,121.0
27020210,Antioquia,1650,-75.33247222,6.88305556,49.0,3.0,208.0,284.0,368.0,298.0,194.0,496.0,287.0,277.0,217.0,10.0
26210090,Antioquia,550,-75.85925,6.30313889,53.0,72.0,111.0,260.0,143.0,101.0,116.0,209.0,45.0,130.0,203.0,29.0
12010070,Antioquia,18,-76.64777778,7.88444444,161.3,38.599999999999994,54.2,388.0,443.70000000000005,288.90000000000003,265.20000000000005,257.9,184.2,302.59999999999997,320.70000000000005,183.6
12010060,Antioquia,10,-76.68916667,7.86305556,37.5,19.9,39.800000000000004,460.9,428.9,149.2,343.70000000000005,212.7,210.19999999999996,277.2,292.3,87.9
27010800,Antioquia,2600,-75.60722222,6.39972222,79.0,34.0,110.0,313.0,186.0,160.0,65.0,226.0,53.0,171.0,128.0,79.0
27015090,Antioquia,1453,-75.55325,6.31969444,58.60000000000001,19.4,92.10000000000001,313.0,159.5,79.0,46.800000000000004,140.8,41.099999999999994,224.29999999999998,149.5,27.700000000000006
27010870,Antioquia,2540,-75.66833333,6.60916667,87.4,54.800000000000004,124.4,227.60000000000002,178.4,130.4,118.2,192.59999999999997,110.89999999999999,195.9,111.00000000000001,62.3
26190090,Antioquia,1600,-75.97552778,5.755,273.0,155.0,321.0,360.0,364.0,234.0,83.0,200.0,183.0,193.0,198.0,52.0
26210140,Antioquia,232,-75.9455,6.21852778,66.0,37.0,109.0,320.0,252.0,85.0,68.0,264.0,71.0,146.0,93.0,48.0
26225040,Antioquia,1650,-75.91297222,6.7295,6.699999999999999,20.700000000000003,77.8,224.1,155.2,118.50000000000001,75.39999999999999,155.3,42.7,235.1,86.1,11.7
26250030,Antioquia,95,-75.34783333,7.57905556,18.0,56.0,288.0,470.0,571.0,316.0,442.0,473.0,454.0,441.0,606.0,87.0
26240100,Antioquia,70,-75.21491667,7.86291667,1.0,38.0,48.0,463.0,276.0,125.0,284.0,362.0,406.0,269.0,385.0,11.0
26240060,Antioquia,75,-75.415,7.83666667,0.0,0.0,104.0,483.0,307.0,263.9,248.6,396.1,388.4,334.6,139.3,5.2
26210070,Antioquia,550,-75.98127778,6.40597222,8.0,20.0,96.0,204.0,139.0,53.0,55.0,182.0,42.0,80.0,89.0,13.0
