CODIGO,DEPARTAMENTO,ELEVACION,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
26180160,Antioquia,2450,-75.43041667,5.78597222,105.0,318.0,315.0,514.0,274.0,155.0,141.0,167.0,248.0,402.0,319.0,319.0
11110020,Antioquia,1920,-76.075,6.6425,84.9,90.0,280.3,365.29999999999995,272.8,181.10000000000002,136.3,165.4,192.70000000000002,345.4,276.09999999999997,405.0
27010850,Antioquia,1530,-75.07722222,6.90555556,73.0,183.0,254.0,547.0,473.0,295.0,324.0,239.0,238.0,455.0,363.0,181.0
27010960,Antioquia,1100,-74.90213889,6.89861111,60.0,129.0,204.0,377.0,558.0,549.0,661.0,368.0,214.0,460.0,249.0,374.0
26195020,Antioquia,1180,-75.88022222,5.691,89.3,110.7,240.49999999999997,490.3,230.99999999999997,224.39999999999998,208.09999999999997,173.8,143.7,328.70000000000005,293.09999999999997,147.6
26190100,Antioquia,1250,-75.90008333,5.56397222,116.0,224.0,176.0,438.0,218.0,170.0,192.0,183.0,193.0,355.0,333.0,281.0
27020210,Antioquia,1650,-75.33247222,6.88305556,34.0,205.0,179.0,320.0,485.0,482.0,326.0,265.0,395.0,269.0,277.0,140.0
26210090,Antioquia,550,-75.85925,6.30313889,62.0,57.0,94.0,370.0,189.0,217.0,92.0,138.0,149.0,201.0,212.0,228.0
12010070,Antioquia,18,-76.64777778,7.88444444,196.10000000000002,93.0,153.0,90.7,58.3,117.3,320.4,310.8,239.79999999999998,229.4,190.3,349.0
12010060,Antioquia,10,-76.68916667,7.86305556,184.10000000000002,98.30000000000001,256.90000000000003,366.70000000000005,197.0,112.89999999999999,431.3,297.40000000000003,168.29999999999998,254.3,179.9,337.9
27010800,Antioquia,2600,-75.60722222,6.39972222,99.0,157.0,175.0,329.0,227.0,259.0,165.0,206.0,220.0,321.0,290.0,221.0
27015090,Antioquia,1453,-75.55325,6.31969444,70.5,176.7,131.90000000000003,417.30000000000007,219.20000000000002,237.50000000000003,187.7,142.4,182.0,256.4,202.2,152.7
27010870,Antioquia,2540,-75.66833333,6.60916667,35.1,65.5,163.1,326.9,189.89999999999998,200.7,159.4,155.6,172.09999999999997,408.4,264.7,217.20000000000002
26190090,Antioquia,1600,-75.97552778,5.755,125.0,145.0,225.0,498.0,225.0,247.0,190.0,371.0,236.0,417.0,397.0,382.0
26210140,Antioquia,232,-75.9455,6.21852778,83.0,136.0,194.0,535.0,259.0,256.0,141.0,187.0,127.0,214.0,269.0,172.0
26225040,Antioquia,1650,-75.91297222,6.7295,45.9,49.400000000000006,158.7,325.4,153.2,209.8,154.29999999999998,81.4,156.4,250.20000000000002,213.0,160.7
26250030,Antioquia,95,-75.34783333,7.57905556,72.0,32.0,227.0,421.0,759.0,432.0,574.0,485.0,404.0,458.0,472.0,251.0
26240100,Antioquia,70,-75.21491667,7.86291667,57.0,84.0,184.0,290.0,613.0,304.0,256.0,292.0,339.0,324.0,300.0,91.0
26240060,Antioquia,75,-75.415,7.83666667,13.0,72.0,281.0,270.0,548.0,357.0,413.0,533.0,373.0,249.0,430.0,243.0
26210070,Antioquia,550,-75.98127778,6.40597222,20.0,52.0,111.0,232.0,125.0,114.0,62.0,136.0,76.0,88.0,155.0,128.0
12010090,Antioquia,4,-76.71188889,7.74766667,303.0,205.0,190.0,475.0,194.0,141.0,364.0,553.0,196.0,190.0,196.0,546.0
26240160,Antioquia,49,-75.2,7.96,13.0,27.0,183.0,261.0,463.0,317.0,258.0,235.0,399.0,200.0,271.0,117.0
25020530,Antioquia,500,-75.08975,8.0255,30.0,62.0,159.0,322.0,227.0,324.0,357.0,186.0,305.0,154.0,403.0,100.0
12010030,Antioquia,18,-76.7,7.57,331.0,300.0,494.0,265.0,263.0,294.0,241.0,378.0,497.0,500.0,475.0,824.0
23080750,Antioquia,1455,-75.18261111,6.05333333,253.0,272.0,530.0,851.0,,,,,419.0,597.0,444.0,646.0
23080740,Antioquia,1280,-75.25916667,6.39694444,164.0,239.0,370.0,565.0,301.0,352.0,299.0,346.0,242.0,510.0,568.0,328.0
26215010,Antioquia,26,-75.91952778,6.03955556,100.9,157.5,227.9,444.20000000000005,193.90000000000006,253.0,195.3,151.0,202.6,383.3,417.09999999999997,279.8
