CODIGO,DEPARTAMENTO,ELEVACION,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
26180160,Antioquia,2450,-75.43041667,5.78597222,90.9,141.6,203.6,268.3,331.0,79.7,76.6,15.5,152.6,239.29999999999998,184.0,157.0
11110020,Antioquia,1920,-76.075,6.6425,13.6,125.2,291.3,302.1,310.1,142.8,82.4,55.5,230.0,217.3,252.1,120.0
27010850,Antioquia,1530,-75.07722222,6.90555556,100.0,79.0,374.0,259.0,356.0,180.0,123.69999999999999,10.5,25.8,34.3,13.899999999999999,13.5
27010960,Antioquia,1100,-74.90213889,6.89861111,22.0,116.0,267.0,120.9,992.0,1124.0,686.0,690.0,566.0,,,
26195020,Antioquia,1180,-75.88022222,5.691,60.400000000000006,166.9,147.00000000000003,336.5,300.7,174.1,203.8,85.39999999999999,173.89999999999998,263.90000000000003,199.1,181.0
26190100,Antioquia,1250,-75.90008333,5.56397222,51.599999999999994,150.10000000000002,160.20000000000002,358.9,214.79999999999998,150.0,169.0,89.1,167.2,242.7,209.4,160.69999999999996
27020210,Antioquia,1650,-75.33247222,6.88305556,43.0,65.0,185.0,163.0,494.0,215.5,315.0,184.0,291.0,324.0,78.0,68.0
26210090,Antioquia,550,-75.85925,6.30313889,16.0,38.0,125.0,213.0,289.0,115.0,124.0,26.0,128.0,147.0,99.0,31.0
12010070,Antioquia,18,-76.64777778,7.88444444,8.1,30.0,108.5,229.89999999999998,339.3,177.20000000000002,252.9,189.1,208.6,389.8,89.6,80.4
12010060,Antioquia,10,-76.68916667,7.86305556,132.3,0.0,161.0,233.10000000000002,414.7,152.6,355.0,160.2,219.90000000000003,404.9,,146.9
27010800,Antioquia,2600,-75.60722222,6.39972222,40.0,71.0,136.0,179.0,264.0,47.0,97.0,15.0,140.0,118.0,106.0,63.0
27015090,Antioquia,1453,-75.55325,6.31969444,98.0,86.2,167.90000000000003,246.4,269.09999999999997,66.9,109.60000000000001,36.3,147.20000000000002,168.09999999999997,126.89999999999999,31.100000000000005
27010870,Antioquia,2540,-75.66833333,6.60916667,40.7,161.5,179.89999999999998,245.1,275.7,105.5,98.20000000000002,31.1,177.29999999999998,220.50000000000003,266.90000000000003,110.6
26190090,Antioquia,1600,-75.97552778,5.755,42.0,201.0,231.0,454.0,486.0,154.0,299.0,102.0,186.0,354.0,208.0,209.0
26210140,Antioquia,232,-75.9455,6.21852778,25.0,40.0,14.9,27.799999999999997,45.099999999999994,22.9,20.2,25.0,209.1,248.0,188.0,58.0
26250030,Antioquia,95,-75.34783333,7.57905556,0.0,66.0,213.0,225.0,717.0,404.0,525.0,491.0,615.0,390.0,252.8,338.0
26240100,Antioquia,70,-75.21491667,7.86291667,2.0,30.0,243.0,189.0,497.0,333.0,399.0,483.0,400.5,207.0,301.0,42.0
26240060,Antioquia,75,-75.415,7.83666667,0.0,0.0,79.5,372.9,280.1,291.4,241.0,351.5,294.4,354.0,224.8,94.69999999999999
26210070,Antioquia,550,-75.98127778,6.40597222,0.0,43.0,11.0,70.0,206.0,49.0,,,,,,
12010090,Antioquia,4,-76.71188889,7.74766667,31.2,0.0,53.4,549.5,556.4999999999999,412.0,294.3,451.40000000000003,138.2,281.5,170.9,254.89999999999998
26240160,Antioquia,49,-75.2,7.96,2.0,3.0,42.0,230.0,611.0,451.0,305.0,424.0,259.0,196.0,158.0,172.0
25020530,Antioquia,500,-75.08975,8.0255,4.0,1.0,93.0,247.0,563.0,310.0,349.0,293.0,288.0,398.0,170.0,110.0
12010030,Antioquia,18,-76.7,7.57,2.0,0.0,51.0,421.0,402.0,277.0,382.0,491.0,378.0,418.0,492.0,262.0
23080750,Antioquia,1455,-75.18261111,6.05333333,455.0,235.3,465.6,504.1,669.0,268.90000000000003,326.8,38.4,561.0,804.0,452.0,243.0
23080740,Antioquia,1280,-75.25916667,6.39694444,83.0,97.0,188.0,325.0,458.0,136.0,227.0,57.0,272.0,333.0,142.0,176.0
26215010,Antioquia,26,-75.91952778,6.03955556,57.0,115.0,225.0,203.4,414.6,162.3,,,,,,
23080650,Antioquia,1850,-75.33561111,6.07377778,105.0,117.0,137.0,301.0,472.0,142.0,421.0,47.0,240.0,261.0,155.0,130.0
27010830,Antioquia,2320,-75.51575,6.56322222,16.0,105.0,108.0,130.0,123.0,92.0,102.0,32.0,89.0,117.0,68.0,37.0
26200150,Antioquia,1650,-75.68511111,5.93675,87.0,128.0,214.0,262.0,425.0,236.0,188.0,20.0,153.0,326.0,336.0,208.0
11110030,Antioquia,905,-76.25222222,6.85805556,0.0,53.0,20.0,83.0,483.0,110.0,82.0,23.0,57.0,60.0,41.0,23.0
11110010,Antioquia,1370,-76.13361111,6.76333333,8.0,83.4,345.0,368.0,410.0,288.0,306.0,222.0,369.0,571.0,453.0,296.0
26220090,Antioquia,10,-75.95722222,6.68805556,13.0,61.0,203.0,141.0,304.0,120.0,80.0,87.0,182.0,146.0,96.0,93.0
27010820,Antioquia,1600,-75.45361111,6.36833333,14.0,58.0,159.0,476.0,1051.0,180.0,327.0,30.0,423.0,615.0,193.0,55.0
27010900,Antioquia,1850,-75.21980556,6.67780556,191.0,69.0,301.0,339.0,650.0,273.0,214.0,95.0,449.0,480.0,94.0,127.0
27010770,Antioquia,255,-75.70508333,6.17833333,67.0,105.0,269.0,366.0,441.0,227.0,144.0,,,,,
26220100,Antioquia,1950,-75.73408333,7.24963889,14.0,28.0,162.0,159.0,307.0,242.0,208.0,172.0,125.0,,,
26220110,Antioquia,530,-75.61686111,7.32375,25.0,2.0,142.0,163.0,348.0,309.0,343.0,285.0,205.0,410.0,236.0,105.0
26170190,Antioquia,1140,-75.72361111,5.80386111,43.2,136.7,204.3,240.5,517.6,228.1,199.9,46.1,226.4,368.90000000000003,290.8,133.4
26180170,Antioquia,2530,-75.38138889,5.99833333,47.60000000000001,52.0,32.7,97.1,181.20000000000002,41.099999999999994,33.8,14.7,38.800000000000004,64.69999999999999,49.400000000000006,70.2
26185020,Antioquia,2408,-75.31863889,5.88636111,201.7,329.1,301.7,237.79999999999998,561.5,322.1,434.50000000000006,87.9,354.2,328.09999999999997,185.70000000000005,196.00000000000003
26230140,Antioquia,1250,-75.75805556,6.72088889,15.4,68.19999999999999,98.3,16.2,,26.4,67.7,24.5,105.00000000000003,163.39999999999998,113.80000000000001,81.69999999999999
