CODIGO,DEPARTAMENTO,ELEVACION,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
26180160,Antioquia,2450,-75.43041667,5.78597222,53.0,149.0,167.0,170.0,470.0,128.0,21.0,185.0,185.0,300.0,315.0,262.0
11110020,Antioquia,1920,-76.075,6.6425,33.4,78.3,189.5,242.2,331.2,222.7,34.5,234.8,175.2,224.0,333.7,157.5
27010850,Antioquia,1530,-75.07722222,6.90555556,11.0,154.0,282.0,281.0,388.0,195.0,222.0,253.0,268.0,186.0,283.0,91.0
27010960,Antioquia,1100,-74.90213889,6.89861111,9.0,91.0,129.0,205.0,663.0,199.0,470.0,431.0,576.0,334.0,370.0,44.0
26195020,Antioquia,1180,-75.88022222,5.691,17.2,189.5,179.3,279.09999999999997,416.7,145.1,101.9,,72.6,174.2,212.7,151.60000000000002
26190100,Antioquia,1250,-75.90008333,5.56397222,83.0,211.0,196.0,230.0,289.0,212.0,90.0,173.0,196.0,267.6,218.4,161.89999999999998
27020210,Antioquia,1650,-75.33247222,6.88305556,29.0,110.0,78.0,177.0,301.0,372.0,276.0,514.0,249.0,207.0,235.0,112.0
26210090,Antioquia,550,-75.85925,6.30313889,3.0,102.0,131.0,253.0,245.0,169.0,67.0,226.0,208.0,220.0,165.0,45.0
12010070,Antioquia,18,-76.64777778,7.88444444,33.3,80.8,105.6,361.8,317.20000000000005,205.79999999999998,345.7,291.5,242.79999999999998,277.6,207.7,326.5
12010060,Antioquia,10,-76.68916667,7.86305556,0.0,218.0,156.3,228.4,361.8,258.9,289.09999999999997,301.2,274.6,224.9,305.2,380.9
27010800,Antioquia,2600,-75.60722222,6.39972222,20.0,107.0,77.0,147.0,256.0,126.0,50.0,294.0,137.0,214.0,235.0,85.0
27015090,Antioquia,1453,-75.55325,6.31969444,6.9,63.0,62.2,91.5,349.7,45.2,27.599999999999998,187.0,164.3,184.1,219.89999999999998,72.0
27010870,Antioquia,2540,-75.66833333,6.60916667,32.50000000000001,154.90000000000003,113.69999999999999,236.60000000000002,254.20000000000002,115.50000000000001,72.2,249.8,159.9,114.2,211.60000000000002,95.1
26190090,Antioquia,1600,-75.97552778,5.755,9.0,176.0,254.0,380.0,427.0,234.0,66.0,261.0,165.0,164.0,204.0,182.0
26210140,Antioquia,232,-75.9455,6.21852778,3.0,147.0,149.0,198.0,291.0,126.0,88.0,301.0,132.0,122.0,170.0,24.0
26225040,Antioquia,1650,-75.91297222,6.7295,0.2,26.099999999999998,66.1,177.20000000000002,192.70000000000002,83.4,37.5,123.80000000000001,100.69999999999999,175.5,152.7,71.60000000000001
26250030,Antioquia,95,-75.34783333,7.57905556,9.0,11.0,307.0,319.0,890.0,433.0,299.0,514.0,559.0,448.0,561.0,210.0
26240100,Antioquia,70,-75.21491667,7.86291667,0.0,41.0,60.0,228.0,313.0,318.0,212.0,257.0,414.0,141.0,283.0,203.0
26240060,Antioquia,75,-75.415,7.83666667,19.1,31.4,60.2,103.5,147.4,388.59999999999997,266.40000000000003,296.79999999999995,327.9,225.8,287.0,77.5
26210070,Antioquia,550,-75.98127778,6.40597222,1.0,11.0,100.0,122.0,129.0,86.0,50.1,126.0,99.0,153.0,70.0,44.0
12010090,Antioquia,4,-76.71188889,7.74766667,3.0,130.0,312.0,415.0,346.0,319.0,422.0,388.0,336.0,270.0,241.0,325.0
26240160,Antioquia,49,-75.2,7.96,0.0,0.0,133.0,362.0,321.0,351.0,256.0,418.0,183.0,220.0,231.0,122.0
25020530,Antioquia,500,-75.08975,8.0255,1.0,3.0,110.0,255.0,316.0,438.0,232.0,413.0,250.0,190.0,137.0,69.0
12010030,Antioquia,18,-76.7,7.57,9.0,18.0,283.0,297.0,350.0,266.0,590.0,505.0,595.0,331.0,410.0,341.0
23080750,Antioquia,1455,-75.18261111,6.05333333,159.0,458.0,365.0,468.0,663.0,352.0,224.0,526.0,560.0,573.0,460.0,389.0
23080740,Antioquia,1280,-75.25916667,6.39694444,36.0,175.0,259.0,188.0,639.0,368.0,152.0,405.0,318.0,257.0,287.0,206.0
26215010,Antioquia,26,-75.91952778,6.03955556,17.299999999999997,268.6,131.20000000000002,227.3,343.2,238.99999999999997,65.8,229.70000000000002,172.7,257.2,358.9,162.2
23080650,Antioquia,1850,-75.33561111,6.07377778,123.0,252.0,205.0,160.0,410.0,367.0,141.0,324.0,288.0,292.0,276.0,144.0
27010830,Antioquia,2320,-75.51575,6.56322222,18.0,98.0,73.0,119.0,201.0,96.0,62.0,124.0,117.0,137.0,125.0,81.0
26200150,Antioquia,1650,-75.68511111,5.93675,36.0,244.0,154.0,299.0,464.0,220.0,64.0,384.0,189.2,388.0,386.0,218.0
11110030,Antioquia,905,-76.25222222,6.85805556,9.0,5.0,50.0,115.0,155.0,62.0,56.0,44.0,21.0,104.0,76.0,114.0
11110010,Antioquia,1370,-76.13361111,6.76333333,11.0,74.0,258.0,400.0,411.0,163.0,54.0,305.0,309.0,308.0,343.0,189.0
26220090,Antioquia,10,-75.95722222,6.68805556,6.0,59.0,73.0,245.0,229.0,219.0,64.0,197.0,109.0,136.0,234.0,85.0
27010820,Antioquia,1600,-75.45361111,6.36833333,29.0,66.0,50.0,179.0,291.0,143.0,66.0,252.0,158.0,269.0,185.0,118.0
27010900,Antioquia,1850,-75.21980556,6.67780556,55.0,148.0,178.0,226.0,538.0,392.0,145.0,512.0,343.0,316.0,252.0,100.0
27010770,Antioquia,255,-75.70508333,6.17833333,16.0,145.0,113.0,268.0,419.0,224.0,96.0,281.0,180.0,260.0,430.0,139.0
26220100,Antioquia,1950,-75.73408333,7.24963889,5.0,12.0,52.0,117.0,318.0,199.0,185.0,231.0,218.0,144.0,66.0,62.0
26220110,Antioquia,530,-75.61686111,7.32375,2.9,23.5,164.0,130.1,332.9,138.0,269.0,460.5,196.8,266.09999999999997,238.5,136.4
26170190,Antioquia,1140,-75.72361111,5.80386111,12.0,186.0,196.0,316.0,584.0,293.0,65.0,277.0,245.0,379.0,404.0,164.0
26180170,Antioquia,2530,-75.38138889,5.99833333,62.6,105.0,121.9,121.1,377.2,184.9,101.5,160.4,156.1,215.7,322.70000000000005,220.40000000000003
26185020,Antioquia,2408,-75.31863889,5.88636111,201.49999999999997,502.7,304.7,220.50000000000006,595.5999999999999,390.69999999999993,133.7,397.0999999999999,386.20000000000005,368.99999999999994,323.59999999999997,209.10000000000002
26230140,Antioquia,1250,-75.75805556,6.72088889,0.0,107.0,139.0,126.0,382.0,58.0,66.0,221.0,,356.0,240.0,63.0
23080640,Antioquia,2150,-75.328,6.17108333,8.0,60.0,132.0,54.0,191.0,114.3,8.0,276.0,224.0,138.0,361.9,88.0
27010810,Antioquia,2550,-75.51675,6.19688889,42.0,203.0,207.0,147.0,370.0,205.0,42.0,205.0,296.0,324.0,488.0,133.0
26180200,Antioquia,560,-75.53683333,5.95083333,31.0,114.0,134.0,249.0,402.0,52.0,19.0,93.0,144.0,342.0,248.0,191.0
27030040,Antioquia,40,-74.814,7.90441667,13.0,72.0,201.0,143.0,525.0,379.0,276.0,727.0,305.0,492.0,475.0,148.0
25021480,Antioquia,31,-74.79,8.03,10.0,112.0,163.0,402.0,538.0,512.0,254.0,657.0,456.0,257.0,595.0,220.0
26170150,Antioquia,2100,-75.83880556,5.79105556,8.0,328.0,331.0,311.0,610.0,241.0,54.0,282.0,155.0,216.0,291.0,235.0
23095010,Antioquia,150,-74.41222222,6.465,3.0,110.8,229.70000000000002,222.49999999999997,406.4,306.0,124.39999999999999,294.1,394.3,,,
27030080,Antioquia,650,-74.71505556,7.06805556,0.0,128.0,244.0,258.0,537.0,357.0,210.0,265.0,198.0,276.0,138.0,33.0
26230200,Antioquia,10,-75.81480556,6.846,3.1,49.6,129.39999999999998,126.7,230.8,104.7,74.5,135.8,123.2,104.39999999999999,104.5,103.0
26210110,Antioquia,2100,-75.86116667,5.93491667,23.0,390.0,302.0,449.0,559.0,448.0,131.0,264.0,382.0,339.0,212.0,60.0
26230130,Antioquia,2830,-75.60961111,6.88719444,3.0,26.0,86.0,196.0,492.0,173.0,88.0,261.0,197.0,154.0,85.0,117.0
26230110,Antioquia,1600,-75.66986111,6.90983333,0.0,2.0,90.0,194.0,400.0,149.0,64.0,226.0,237.0,197.0,256.0,80.0
23080810,Antioquia,1950,-74.82811111,6.2495,14.0,208.0,290.0,264.0,504.4,401.1,186.5,489.9,425.8,222.5,176.50000000000006,361.0
23080760,Antioquia,820,-75.017,6.4875,37.0,177.0,255.0,356.0,639.0,305.0,166.0,420.0,401.0,347.0,415.0,208.0
12030010,Antioquia,4,-76.53305556,8.75522222,0.0,18.0,40.0,74.0,135.0,127.0,292.0,158.0,163.0,265.0,250.0,157.0
27010880,Antioquia,2630,-75.39222222,6.70286111,8.0,113.0,114.0,187.0,322.0,197.0,107.0,376.0,186.0,171.0,137.0,61.0
23050100,Antioquia,1751,-74.72608333,5.73075,3.7,228.3,400.9,268.2,428.0,71.60000000000001,85.19999999999999,177.6,369.49999999999994,437.7,123.1,226.29999999999998
26175030,Antioquia,1153,-75.69091667,5.71733333,51.5,186.9,191.9,173.50000000000003,556.1999999999999,127.40000000000003,71.80000000000001,301.0,238.99999999999997,374.79999999999995,261.00000000000006,199.9
26250110,Antioquia,190,-75.26438889,7.47411111,0.0,23.0,675.0,278.0,658.0,636.0,613.0,570.0,489.0,516.0,792.0,315.0
26200120,Antioquia,515,-75.79458333,6.07294444,0.0,63.0,66.0,109.0,315.0,56.0,54.0,246.0,263.0,220.0,146.0,183.0
12010100,Antioquia,10,-76.61738889,7.94552778,0.0,52.0,207.0,242.0,368.6,242.0,338.0,172.0,213.0,256.0,180.0,233.0
12010110,Antioquia,5,-76.63852778,7.98741667,0.0,73.9,150.10000000000002,407.3,290.0,204.1,215.50000000000003,220.5,219.89999999999998,107.5,254.8,250.5
12020010,Antioquia,10,-76.52,8.19999722,0.0,13.0,46.0,217.0,178.0,178.0,202.0,90.0,168.0,120.0,138.0,76.0
12010120,Antioquia,130,-76.64908333,7.92383333,0.0,122.0,215.0,466.0,277.0,334.0,271.0,303.0,291.0,323.0,144.0,306.0
11070020,Antioquia,250,-76.22861111,6.33222222,29.200000000000003,73.7,82.4,182.5,330.8,102.19999999999999,59.6,234.0,88.89999999999999,107.4,232.9,312.6
11070030,Antioquia,2150,-76.15861111,6.53944444,41.0,257.0,365.0,439.0,493.0,251.0,66.0,229.0,313.3,339.0,488.0,361.0
11075020,Antioquia,1833,-76.14330556,6.29830556,36.300000000000004,73.7,88.7,140.8,278.0,110.69999999999999,91.6,223.29999999999998,140.10000000000002,94.1,19.5,
27020260,Antioquia,10,-75.30219444,7.24677778,8.0,10.0,399.0,51.0,174.0,99.0,310.0,837.0,1024.0,429.0,187.0,34.0
26240150,Antioquia,150,-75.4,7.29,60.0,33.0,340.0,222.0,485.0,350.0,397.0,298.0,235.0,,,
26255020,Antioquia,2652,-75.56,6.78,116.6,180.89999999999998,327.9,374.09999999999997,537.9,413.4,470.6000000000001,781.1,755.6,500.80000000000007,348.1,144.0
23100030,Antioquia,1450,-74.78566667,6.84047222,0.0,54.0,218.0,265.0,436.0,250.0,230.0,332.0,350.0,233.0,380.0,36.0
23105030,Antioquia,990,-74.79652778,6.77411111,3.5,53.4,201.1,250.1,413.09999999999997,191.39999999999998,121.2,251.69999999999993,382.4,145.7,218.0,52.9
26200130,Antioquia,1700,-75.84,5.97,8.2,251.5,129.5,171.79999999999998,334.6000000000001,208.7,54.0,203.50000000000003,246.20000000000002,205.60000000000002,308.5,56.099999999999994
11060010,Antioquia,18,-76.77927778,6.42,10.0,453.0,312.0,327.0,140.0,170.0,273.0,259.0,349.0,523.0,542.0,182.0
27020200,Antioquia,2400,-75.35558333,7.07072222,28.7,126.1,170.39999999999998,399.5999999999999,426.59999999999997,363.2,334.8,553.4000000000001,316.50000000000006,293.4,295.99999999999994,115.60000000000001
27020220,Antioquia,2750,-75.48386111,6.81361111,7.4,48.4,103.6,243.29999999999998,274.7,198.99999999999994,120.6,309.20000000000005,200.4,147.29999999999998,162.6,72.6
27020190,Antioquia,2400,-75.41555556,6.95597222,58.0,124.0,136.0,253.0,364.0,240.0,254.0,442.0,241.0,218.0,240.0,75.0
23160010,Antioquia,85,-73.94416667,7.08944444,0.0,228.0,269.0,319.0,308.0,397.0,81.0,383.0,450.0,248.5,244.8,51.9
27030090,Antioquia,220,-74.83933333,7.31930556,0.0,107.0,232.0,490.0,801.0,514.0,897.0,750.0,438.0,907.0,717.9,278.0
27030210,Antioquia,50,-74.87238889,7.48622222,4.0,53.0,175.0,343.0,657.0,453.0,500.0,540.0,293.0,415.0,509.0,217.0
