CODIGO,DEPARTAMENTO,ELEVACION,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
26180160,Antioquia,2450,-75.43041667,5.78597222,86.0,60.0,133.0,162.0,146.0,64.0,125.0,59.0,71.0,235.0,164.0,26.0
11110020,Antioquia,1920,-76.075,6.6425,87.0,79.0,155.0,191.0,386.0,49.0,129.9,88.0,149.0,203.20000000000002,226.29999999999998,11.5
27010850,Antioquia,1530,-75.07722222,6.90555556,76.0,59.0,201.0,190.0,291.0,89.0,260.0,125.0,119.0,228.0,259.0,68.0
27010960,Antioquia,1100,-74.90213889,6.89861111,28.0,27.0,211.0,510.0,659.0,815.0,987.0,151.0,304.0,575.0,79.0,14.0
26195020,Antioquia,1180,-75.88022222,5.691,86.8,49.1,117.4,224.6,266.99999999999994,91.9,236.7,87.5,110.2,178.40000000000003,157.9,48.2
26190100,Antioquia,1250,-75.90008333,5.56397222,79.4,121.3,128.50000000000003,225.39999999999998,357.4,47.7,141.40000000000003,126.6,53.8,196.60000000000002,109.3,30.2
27020210,Antioquia,1650,-75.33247222,6.88305556,71.0,39.0,60.0,259.0,477.0,234.0,373.0,286.0,106.0,189.0,246.0,40.0
26210090,Antioquia,550,-75.85925,6.30313889,52.0,32.0,73.0,158.0,304.0,70.0,114.0,62.0,67.0,137.0,122.0,5.0
12010070,Antioquia,18,-76.64777778,7.88444444,22.799999999999997,34.8,67.6,187.6,329.8,141.79999999999998,227.79999999999998,211.5,293.4,217.90000000000003,184.60000000000002,118.2
12010060,Antioquia,10,-76.68916667,7.86305556,82.9,12.8,39.800000000000004,151.29999999999998,262.2,163.5,182.29999999999998,427.90000000000003,174.5,211.8,223.8,187.4
27010800,Antioquia,2600,-75.60722222,6.39972222,85.0,70.0,116.0,192.0,175.0,63.0,167.0,148.0,64.0,162.0,170.0,12.0
27015090,Antioquia,1453,-75.55325,6.31969444,40.7,78.7,93.0,134.9,187.70000000000002,47.4,138.3,79.8,46.2,121.10000000000001,80.7,4.3
27010870,Antioquia,2540,-75.66833333,6.60916667,100.69999999999999,73.4,145.10000000000002,227.70000000000002,167.79999999999998,52.0,172.6,130.1,89.6,154.0,251.4,37.8
26190090,Antioquia,1600,-75.97552778,5.755,60.0,48.0,177.0,292.0,328.0,98.0,299.0,140.0,119.0,270.0,280.0,109.0
26210140,Antioquia,232,-75.9455,6.21852778,13.0,32.0,155.0,151.0,428.0,35.0,111.0,59.0,12.0,,114.0,37.0
26250030,Antioquia,95,-75.34783333,7.57905556,13.0,28.0,94.0,186.0,295.0,363.0,472.0,349.0,330.0,443.0,394.0,147.0
26240100,Antioquia,70,-75.21491667,7.86291667,14.0,15.0,38.0,296.0,321.0,221.0,241.0,431.0,184.0,291.0,157.0,8.0
26240060,Antioquia,75,-75.415,7.83666667,12.0,57.800000000000004,198.5,291.6,156.7,232.1,351.5,353.5,135.0,301.2,186.8,22.3
