CODIGO,DEPARTAMENTO,ELEVACION,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
26180160,Antioquia,2450,-75.43041667,5.78597222,81.0,208.0,154.0,94.0,235.0,104.0,19.0,82.0,185.0,272.0,205.0,178.0
11110020,Antioquia,1920,-76.075,6.6425,134.6,226.29999999999998,76.8,285.7,267.0,290.0,30.0,255.4,160.5,259.4,211.4,180.0
27010850,Antioquia,1530,-75.07722222,6.90555556,37.0,78.0,126.0,409.0,264.0,143.0,115.0,276.0,166.0,307.0,262.0,114.0
27010960,Antioquia,1100,-74.90213889,6.89861111,25.0,41.0,24.0,278.0,452.0,325.0,228.0,336.0,107.0,250.0,27.0,284.0
26195020,Antioquia,1180,-75.88022222,5.691,64.6,159.3,142.6,145.2,227.7,70.5,,187.1,,234.7,180.5,100.0
26190100,Antioquia,1250,-75.90008333,5.56397222,77.79999999999998,139.0,129.7,156.5,379.80000000000007,138.70000000000002,61.5,130.7,177.70000000000002,158.90000000000003,148.79999999999998,140.2
27020210,Antioquia,1650,-75.33247222,6.88305556,16.0,123.0,44.0,385.0,268.0,345.0,128.0,497.0,255.0,354.0,235.0,89.0
26210090,Antioquia,550,-75.85925,6.30313889,22.0,50.0,52.0,109.0,221.0,155.0,35.0,148.0,127.0,289.0,190.0,131.0
12010070,Antioquia,18,-76.64777778,7.88444444,93.2,8.3,82.6,35.9,349.00000000000006,216.89999999999998,294.1,180.40000000000003,361.6,293.5,243.10000000000002,207.39999999999998
12010060,Antioquia,10,-76.68916667,7.86305556,78.6,0.0,39.5,73.0,372.20000000000005,308.30000000000007,267.5,200.89999999999998,346.09999999999997,225.89999999999998,156.9,245.49999999999997
27010800,Antioquia,2600,-75.60722222,6.39972222,48.0,120.0,86.0,110.0,205.0,137.0,61.0,197.0,132.0,209.0,236.0,42.0
27015090,Antioquia,1453,-75.55325,6.31969444,48.1,32.8,27.3,109.5,236.0,101.7,51.4,87.79999999999998,110.10000000000001,224.89999999999998,116.60000000000001,100.3
27010870,Antioquia,2540,-75.66833333,6.60916667,117.9,105.1,141.39999999999998,188.79999999999998,219.79999999999998,98.4,60.0,185.39999999999998,152.8,353.7,187.6,71.5
26190090,Antioquia,1600,-75.97552778,5.755,104.0,247.0,176.0,240.0,214.0,156.0,58.0,175.0,202.0,269.0,190.0,66.0
26210140,Antioquia,232,-75.9455,6.21852778,25.0,49.0,53.0,158.0,168.0,187.0,46.0,143.0,143.0,274.0,241.0,36.0
26225040,Antioquia,1650,-75.91297222,6.7295,13.0,63.0,71.0,104.0,,,,,,,,
